player_id,competition_id,yellow_cards,red_cards,goals,assists,minutes_played
3630,GB1,0.0,0.0,0.0,0.0,270.0
3634,GB1,1.0,0.0,0.0,4.0,1360.0
3640,GB1,0.0,0.0,0.0,0.0,147.0
3666,GB1,2.0,0.0,0.0,1.0,708.0
3692,GB1,0.6666666666666666,0.0,0.0,0.3333333333333333,1689.0
3698,SC1,2.0,0.0,0.0,0.0,1508.0
3707,FR1,8.0,0.0,0.0,0.0,2667.0
3713,IT1,3.6666666666666665,0.3333333333333333,9.333333333333334,4.333333333333333,2254.0
3719,SC1,0.0,0.0,0.0,0.0,76.0
3730,RU1,3.3333333333333335,0.0,1.6666666666666667,2.0,1312.0
3753,GR1,1.5,0.0,2.5,2.0,1044.0
3762,GB1,3.0,0.0,3.0,6.0,2661.0
3771,GR1,3.5,0.5,0.5,0.5,1274.5
3775,GB1,3.0,0.0,0.0,1.0,1359.5
3783,SC1,3.0,0.0,2.0,2.0,1275.0
3785,GB1,4.0,0.0,1.0,2.0,1842.0
3788,GB1,1.0,0.0,0.0,0.0,1073.0
3791,GB1,8.0,0.0,1.0,1.0,2085.0
3807,GB1,7.0,0.0,0.0,0.0,1872.0
3816,L1,3.0,0.0,0.0,3.0,900.0
3817,L1,0.0,0.0,0.0,0.0,47.0
3824,SC1,3.0,0.0,1.0,0.0,1657.0
3825,SC1,11.0,0.0,3.0,0.0,1707.0
3838,GB1,1.3333333333333333,0.0,0.0,0.0,1031.6666666666667
3851,L1,0.5,0.0,0.0,0.0,4.0
3869,SC1,5.666666666666667,0.3333333333333333,1.6666666666666667,2.0,2371.6666666666665
3875,SC1,0.3333333333333333,0.0,7.0,2.3333333333333335,660.6666666666666
3876,GB1,1.3333333333333333,0.0,2.3333333333333335,0.6666666666666666,602.0
3878,GB1,1.75,0.0,0.25,0.5,1077.75
3881,GB1,1.5,0.0,0.0,0.75,1289.75
3890,FR1,0.5,0.0,3.0,1.0,973.0
3900,GR1,1.3333333333333333,0.0,3.3333333333333335,0.6666666666666666,1154.3333333333333
3901,FR1,0.0,0.0,0.0,0.0,169.0
3913,FR1,0.0,0.0,0.0,0.0,24.0
3914,TR1,0.0,0.0,1.0,0.0,252.0
3924,GB1,5.0,0.0,4.0,1.0,856.0
3926,GR1,1.0,0.0,3.0,4.0,1801.0
3942,L1,2.3333333333333335,0.0,1.3333333333333333,0.6666666666666666,500.0
3947,DK1,0.0,0.0,1.0,0.0,234.0
3950,GB1,3.75,0.5,4.5,2.5,1870.5
3966,FR1,0.0,0.0,1.0,1.5,441.5
3975,TR1,3.0,0.0,3.0,3.0,1504.0
3978,UKR1,1.0,0.0,0.0,0.0,375.0
3979,PO1,1.5,0.0,0.0,0.25,2126.25
3989,RU1,1.0,0.0,0.0,0.5,560.0
3995,GB1,4.0,0.5,0.5,1.0,1338.0
4010,NL1,3.5,0.0,15.5,4.5,2505.0
4015,IT1,0.0,0.0,0.0,0.0,127.0
4018,L1,5.25,0.0,0.25,0.75,2067.5
4042,NL1,0.3333333333333333,0.0,0.0,0.0,2400.0
4055,GB1,7.0,0.0,1.0,2.0,1770.0
4063,GB1,1.3333333333333333,0.0,2.6666666666666665,4.0,2368.3333333333335
4070,GB1,6.0,0.0,0.5,2.0,2676.5
4072,GB1,2.0,0.0,3.0,1.5,846.75
4075,TR1,0.0,0.0,0.0,0.0,553.0
4086,GR1,1.0,0.0,6.0,0.0,658.0
4094,GB1,0.0,0.0,0.0,0.0,167.0
